# qwen4exp_real_gate	label=fs2-og-thinkoff	binary_sha256=ba3d443bf309bf8d2f7001723f64d07f223770e8430d25f4a091dcfa30260485	ckpt=/root/data/q48fn-yarn1m	host_bf16_banks=false	indexer_norm_raw=false	mtp_dev1=false	spec_opts=SpecOpts { dynk: None, adapt_k_lo: Some(1), pmin: 0.3, defer: false, defer_guard_sync: false, prefill_chunk: None, wide_ring: None }
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# cache	kv_quant=q8_0/q5_1	idxq=q8	golden_pin=true	seams_env=idxsel,kvq,idxq
# trim-ab k=5 trim_n=32768 vocab=248320: full-vocab draft head vs FR-Spec trimmed head, interleaved, fresh states per arm per rep, ARM ORDER FLIPPED on odd reps
# order = position of the arm INSIDE its rep (1 = ran first): an arm that is always second carries whatever the first arm left behind (clocks, allocator, caches), and a fixed order hides that inside the mean
rep	arm	order	draft_head_rows	tokens	ms_per_token	tok_per_s	accept_rate	mean_accept_len	draft_ms_share	hist
0	full	1	248320	256	9.55	104.72	0.715	3.01	0.15	13,21,22,15,9,5
0	trim	2	32768	256	8.84	113.17	0.713	3.01	0.09	13,21,22,15,9,5
1	trim	1	32768	256	8.73	114.54	0.713	3.01	0.09	13,21,22,15,9,5
1	full	2	248320	256	9.31	107.42	0.715	3.01	0.16	13,21,22,15,9,5
2	full	1	248320	256	9.23	108.31	0.715	3.01	0.16	13,21,22,15,9,5
2	trim	2	32768	256	8.53	117.24	0.713	3.01	0.09	13,21,22,15,9,5
3	trim	1	32768	256	8.53	117.21	0.713	3.01	0.09	13,21,22,15,9,5
3	full	2	248320	256	9.20	108.74	0.715	3.01	0.16	13,21,22,15,9,5
4	full	1	248320	256	9.24	108.27	0.715	3.01	0.16	13,21,22,15,9,5
4	trim	2	32768	256	8.53	117.28	0.713	3.01	0.09	13,21,22,15,9,5
# arm full	mean_of_means_ms=9.30	min=9.20	max=9.55	spread_pct=3.789	tok_per_s=107.47	mean_accept_rate=0.715	mean_accept_len=3.01
# arm trim	mean_of_means_ms=8.63	min=8.53	max=8.84	spread_pct=3.590	tok_per_s=115.86	mean_accept_rate=0.713	mean_accept_len=3.01
# speedup_trim_over_full	1.0781
# rep0_full_vs_trim_first_divergence	-1
# rep0_full	12189,488,3105,914,3300,279,3050,1970,11,353,668,19264,279,13996,1608,264,2972,34099,1340,3010,332,314,264,13852,5829,2764,4667,5792,709,318,68,1257,2487,5122,264,999,466,78304,264,4475,553,4844,11,353,668,10033,279,4581,4203,364,279,19260,13,271,13962,12996,25,12851,318,7259,58303,8,271,71093,13670,198,320,16722,4667,5792,709,198,1628,26720,3598,11,4667,8,313,198,220,434,4319,6134,3203,5488,318,68,1257,2487,5767,3134,466,999,1301,8,198,220,13850,4903,574,313,198,262,413,318,306,1981,359,11469,837,313,198,406,434,4451,35718,4667,20624,25,1118,1344,369,1412,11,2018,369,795,198,406,4667,1693,4451,482,7678,2937,4418,819,1174,198,262,333,745,313,198,406,4667,4806,11,313,850,11,803,25,359,59605,6,17574,198,262,333,198,220,2390,220,16,15,15,1174,198,92,271,320,54184,10121,198,25110,482,16,17,18,504,318,600,11,795,8,574,313,198,220,413,318,600,8,313,198,262,2263,4273,482,1401,16924,1784,6488,1174,198,262,460,26,198,220,333,198,220,2263,1607,482,1008,16924,795,1174,198,13685,198,71093,271,4277,271,13962,4486,25,20776,10052,11158,41096,271,1206,5335,411,11,567,2972,9797,332,279,4667,5792,709,303,264,1510,20396,27653,1061,72346
# rep0_trim	12189,488,3105,914,3300,279,3050,1970,11,353,668,19264,279,13996,1608,264,2972,34099,1340,3010,332,314,264,13852,5829,2764,4667,5792,709,318,68,1257,2487,5122,264,999,466,78304,264,4475,553,4844,11,353,668,10033,279,4581,4203,364,279,19260,13,271,13962,12996,25,12851,318,7259,58303,8,271,71093,13670,198,320,16722,4667,5792,709,198,1628,26720,3598,11,4667,8,313,198,220,434,4319,6134,3203,5488,318,68,1257,2487,5767,3134,466,999,1301,8,198,220,13850,4903,574,313,198,262,413,318,306,1981,359,11469,837,313,198,406,434,4451,35718,4667,20624,25,1118,1344,369,1412,11,2018,369,795,198,406,4667,1693,4451,482,7678,2937,4418,819,1174,198,262,333,745,313,198,406,4667,4806,11,313,850,11,803,25,359,59605,6,17574,198,262,333,198,220,2390,220,16,15,15,1174,198,92,271,320,54184,10121,198,25110,482,16,17,18,504,318,600,11,795,8,574,313,198,220,413,318,600,8,313,198,262,2263,4273,482,1401,16924,1784,6488,1174,198,262,460,26,198,220,333,198,220,2263,1607,482,1008,16924,795,1174,198,13685,198,71093,271,4277,271,13962,4486,25,20776,10052,11158,41096,271,1206,5335,411,11,567,2972,9797,332,279,4667,5792,709,303,264,1510,20396,27653,1061,72346
