prefix_tokens,bytes_per_token,restore_gb_s,prefill_tokens_s,startup_seconds,decision
1024,114688,0.1,1000,0.01,recompute
1024,114688,0.1,10000,0.01,recompute
1024,114688,0.1,100000,0.01,recompute
1024,114688,1,1000,0.01,load
1024,114688,1,10000,0.01,recompute
1024,114688,1,100000,0.01,recompute
1024,114688,7,1000,0.01,load
1024,114688,7,10000,0.01,load
1024,114688,7,100000,0.01,recompute
1024,114688,14,1000,0.01,load
1024,114688,14,10000,0.01,load
1024,114688,14,100000,0.01,recompute
8192,114688,0.1,1000,0.01,recompute
8192,114688,0.1,10000,0.01,recompute
8192,114688,0.1,100000,0.01,recompute
8192,114688,1,1000,0.01,load
8192,114688,1,10000,0.01,recompute
8192,114688,1,100000,0.01,recompute
8192,114688,7,1000,0.01,load
8192,114688,7,10000,0.01,load
8192,114688,7,100000,0.01,recompute
8192,114688,14,1000,0.01,load
8192,114688,14,10000,0.01,load
8192,114688,14,100000,0.01,load
32768,114688,0.1,1000,0.01,recompute
32768,114688,0.1,10000,0.01,recompute
32768,114688,0.1,100000,0.01,recompute
32768,114688,1,1000,0.01,load
32768,114688,1,10000,0.01,recompute
32768,114688,1,100000,0.01,recompute
32768,114688,7,1000,0.01,load
32768,114688,7,10000,0.01,load
32768,114688,7,100000,0.01,recompute
32768,114688,14,1000,0.01,load
32768,114688,14,10000,0.01,load
32768,114688,14,100000,0.01,load
131072,114688,0.1,1000,0.01,recompute
131072,114688,0.1,10000,0.01,recompute
131072,114688,0.1,100000,0.01,recompute
131072,114688,1,1000,0.01,load
131072,114688,1,10000,0.01,recompute
131072,114688,1,100000,0.01,recompute
131072,114688,7,1000,0.01,load
131072,114688,7,10000,0.01,load
131072,114688,7,100000,0.01,recompute
131072,114688,14,1000,0.01,load
131072,114688,14,10000,0.01,load
131072,114688,14,100000,0.01,load
