memra-reference (f32, unfused) vs memra-engine forward_hyper, AFTER the ggml->HF name-map fix.
Artifact ~/models/glm53-nvfp4, tokens [1,2,3,4], last prompt position, MEMRA_HYPER_TRACE on both sides.
FULL DEPTH: all 45 trunk layers (0..44) plus expand and collapse. The reference side of this run
reproduced the banked mint-receipts/nvfp4-oracle.tsv BIT-FOR-BIT (cosine 1.000000, max_abs 0.0),
so the trace taps changed nothing on either side.
cos = cosine(reference, engine); ratio = |engine| / |reference|.
Stage order per layer: mixer (KDA or MLA+DSA output), attn (streams after the attention hc_post),
router (288 router logits), route (selected (expert, weight) pairs, IN SELECTION ORDER -- two
different top-k implementations can emit the same set in a different order, which lowers this
row's cosine without changing anything the model computes), routed (routed-expert sum),
ffn (routed + shared expert), layer (streams after the mlp hc_post).

WORST COSINE PER STAGE, and the first layer where the stage drops below 0.999:

  stage      BEFORE                          AFTER
  mixer      0.039215 @L28  first <0.999 L4  |  0.959737 @L23  first <0.999 L16
  attn       0.161666 @L30  first <0.999 L4  |  0.972812 @L24  first <0.999 L17
  router     0.892737 @L44  first <0.999 L5  |  0.997990 @L22  first <0.999 L21
  route      0.528207 @L42  first <0.999 L3  |  0.745064 @L19  first <0.999 L7
  routed    -0.023606 @L29  first <0.999 L3  |  0.912635 @L17  first <0.999 L15
  ffn       -0.034478 @L29  first <0.999 L3  |  0.926391 @L17  first <0.999 L15
  layer      0.134009 @L44  first <0.999 L3  |  0.971423 @L23  first <0.999 L16

BEFORE: the break is a STEP at layer 3 -- the first MoE layer -- in route/routed/ffn/layer, and
nowhere earlier; routed and ffn go NEGATIVE by layer 29 (the engine's FFN branch ends up pointing
away from the reference's). AFTER: nothing breaks anywhere; every residual-stream stage stays
above 0.95 and degrades MONOTONICALLY with depth from layer ~15, which is the f32-vs-4-bit
instrument drift this comparison is expected to show. End-to-end: argmax 5 vs 5, top-8 set
identical, logits cosine 0.9930 (logits-before-after.txt).

stage       L      n       cos      |ref|      |eng|    ratio     maxabs
expand     -1  16384  1.000000     0.8686     0.8686   1.0000          0
mixer       0   4096  1.000000     0.4178     0.4178   1.0000  6.706e-08
attn        0  16384  1.000000     0.7106     0.7106   1.0000  1.318e-07
ffn         0   4096  0.999864      0.412     0.4122   1.0005  0.0007334
layer       0  16384  0.999967     0.5462     0.5461   0.9999  0.0003455
mixer       1   4096  0.999987     0.2519     0.2518   0.9996  6.739e-05
attn        1  16384  0.999969     0.6054     0.6052   0.9997  0.0003079
ffn         1   4096  0.999760     0.2001        0.2   0.9995   0.000561
layer       1  16384  0.999979     0.5272     0.5269   0.9995   0.000241
mixer       2   4096  0.999995     0.3477     0.3477   1.0000  6.915e-05
attn        2  16384  0.999991      0.868     0.8679   1.0000  0.0002084
ffn         2   4096  0.999982      1.968      1.969   1.0004  0.0006267
layer       2  16384  0.999984      3.397      3.398   1.0003   0.001098
mixer       3   4096  0.999988      28.72       28.7   0.9995   0.008665
attn        3  16384  0.999984      3.265      3.266   1.0003   0.001054
router      3    288  0.999999      59.29       59.3   1.0002    0.01228
route       3     16  1.000000        523        523   1.0000  0.0008981
routed      3   4096  0.999949      44.86      44.87   1.0002    0.03197
ffn         3   4096  0.999962      66.46      66.47   1.0001    0.03609
layer       3  16384  0.999980      6.525       6.53   1.0007   0.002553
mixer       4   4096  0.999755      1.411      1.412   1.0003   0.001891
attn        4  16384  0.999979      6.289      6.293   1.0007   0.002445
router      4    288  0.999994      90.03      89.75   0.9968    0.07539
route       4     16  1.000000      379.5      379.5   1.0000   0.006943
routed      4   4096  0.999797      13.55       13.5   0.9958    0.01576
ffn         4   4096  0.999800      13.68      13.62   0.9958    0.01584
layer       4  16384  0.999942      7.025      7.023   0.9996   0.004594
mixer       5   4096  0.999889     0.2533     0.2551   1.0069   0.000246
attn        5  16384  0.999942      6.632      6.629   0.9997   0.004332
router      5    288  0.999996      96.17       95.9   0.9972    0.06842
route       5     16  1.000000      446.7      446.7   1.0000   0.005149
