k27div: T=90 tape=20 watch=[7246, 5638] sm_count=188
env: MEMRA_FA_SPLIT=<unset> MEMRA_FAST=<unset>
step  0 t_kv=90 argmax=72240 ref=72240 top2=(72240:14.3190,96220:13.4066) margin=0.9124 l[7246]=4.2799 l[5638]=5.1491 gap_w0_w1=-0.8692
step  1 t_kv=91 argmax=11 ref=11 top2=(11:20.6194,279:18.0034) margin=2.6160 l[7246]=7.5383 l[5638]=9.8626 gap_w0_w1=-2.3243
step  2 t_kv=92 argmax=2923 ref=2923 top2=(2923:21.4485,303:14.7424) margin=6.7061 l[7246]=6.7384 l[5638]=3.3545 gap_w0_w1=3.3840
step  3 t_kv=93 argmax=539 ref=539 top2=(539:25.2608,13909:22.7368) margin=2.5240 l[7246]=6.8545 l[5638]=-3.9688 gap_w0_w1=10.8233
step  4 t_kv=94 argmax=2923 ref=2923 top2=(2923:18.9140,11:14.6825) margin=4.2316 l[7246]=5.3786 l[5638]=0.1155 gap_w0_w1=5.2631
step  5 t_kv=95 argmax=11 ref=11 top2=(11:25.6466,5861:17.4570) margin=8.1897 l[7246]=2.5031 l[5638]=-0.5326 gap_w0_w1=3.0357
step  6 t_kv=96 argmax=5638 ref=7246 top2=(5638:18.0805,7246:17.7892) margin=0.2913 l[7246]=17.7892 l[5638]=18.0805 gap_w0_w1=-0.2913  <-- DISAGREE
step  7 t_kv=97 argmax=303 ref=303 top2=(303:17.4520,3294:16.7028) margin=0.7492 l[7246]=10.5456 l[5638]=12.3130 gap_w0_w1=-1.7674
step  8 t_kv=98 argmax=279 ref=279 top2=(279:17.0024,264:15.4686) margin=1.5338 l[7246]=4.5058 l[5638]=8.9532 gap_w0_w1=-4.4474
step  9 t_kv=99 argmax=9640 ref=9640 top2=(9640:15.2912,2193:15.0224) margin=0.2688 l[7246]=7.4809 l[5638]=11.9511 gap_w0_w1=-4.4702
step 10 t_kv=100 argmax=271 ref=271 top2=(271:19.4696,11:19.3128) margin=0.1568 l[7246]=11.2339 l[5638]=9.6700 gap_w0_w1=1.5639
step 11 t_kv=101 argmax=248068 ref=248068 top2=(248068:24.5819,27775:18.9419) margin=5.6399 l[7246]=4.6217 l[5638]=7.4515 gap_w0_w1=-2.8297
step 12 t_kv=102 argmax=198 ref=198 top2=(198:26.4222,271:25.7748) margin=0.6474 l[7246]=4.3513 l[5638]=7.2462 gap_w0_w1=-2.8949
step 13 t_kv=103 argmax=8160 ref=8160 top2=(8160:26.9393,90700:22.9334) margin=4.0059 l[7246]=1.9051 l[5638]=6.8826 gap_w0_w1=-4.9775
step 14 t_kv=104 argmax=579 ref=579 top2=(579:24.4026,725:13.5631) margin=10.8395 l[7246]=2.3919 l[5638]=2.5711 gap_w0_w1=-0.1793
step 15 t_kv=105 argmax=264 ref=264 top2=(264:27.5531,7047:18.5181) margin=9.0349 l[7246]=3.2628 l[5638]=0.4535 gap_w0_w1=2.8093
step 16 t_kv=106 argmax=7047 ref=7047 top2=(7047:34.0044,50534:20.3527) margin=13.6517 l[7246]=10.7868 l[5638]=12.0664 gap_w0_w1=-1.2796
step 17 t_kv=107 argmax=1817 ref=1817 top2=(1817:26.8172,7047:24.5170) margin=2.3002 l[7246]=1.8529 l[5638]=6.8890 gap_w0_w1=-5.0361
step 18 t_kv=108 argmax=25 ref=25 top2=(25:26.4722,421:19.9663) margin=6.5060 l[7246]=3.8441 l[5638]=6.9236 gap_w0_w1=-3.0795
step 19 t_kv=109 argmax=271 ref=271 top2=(271:22.2332,198:12.5533) margin=9.6799 l[7246]=3.1573 l[5638]=5.7890 gap_w0_w1=-2.6318
FIRST-DIV vs tape at step 6
