# qwen4exp_real_gate	label=trim-thinkoff-ship	binary_sha256=6307988375a174e78f463d2d3b2964b4ee9173bfe2e956813c304ba902c82790	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false	mtp_dev1=true	spec_opts=SpecOpts { dynk: None, adapt_k_lo: Some(1), pmin: 0.3 }
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# trim-ab k=5 trim_n=11854 vocab=248320: full-vocab draft head vs FR-Spec trimmed head, interleaved, fresh states per arm per rep
rep	arm	draft_head_rows	tokens	ms_per_token	tok_per_s	accept_rate	mean_accept_len	draft_ms_share	hist
0	full	248320	256	9.94	100.58	0.788	3.56	0.16	9,12,14,13,13,11
0	trim	11854	256	11.04	90.61	0.633	2.59	0.07	23,26,28,14,5,3
1	full	248320	256	9.96	100.44	0.788	3.56	0.16	9,12,14,13,13,11
1	trim	11854	256	10.90	91.76	0.633	2.59	0.07	23,26,28,14,5,3
2	full	248320	256	9.78	102.29	0.788	3.56	0.16	9,12,14,13,13,11
2	trim	11854	256	10.82	92.39	0.633	2.59	0.07	23,26,28,14,5,3
3	full	248320	256	9.73	102.79	0.788	3.56	0.16	9,12,14,13,13,11
3	trim	11854	256	10.68	93.63	0.633	2.59	0.08	23,26,28,14,5,3
4	full	248320	256	9.59	104.23	0.788	3.56	0.16	9,12,14,13,13,11
4	trim	11854	256	10.72	93.29	0.633	2.59	0.08	23,26,28,14,5,3
# arm full	mean_of_means_ms=9.80	min=9.59	max=9.96	tok_per_s=102.05	mean_accept_rate=0.788	mean_accept_len=3.56
# arm trim	mean_of_means_ms=10.83	min=10.68	max=11.04	tok_per_s=92.32	mean_accept_rate=0.633	mean_accept_len=2.59
# speedup_trim_over_full	0.9047
# rep0_full_vs_trim_first_divergence	-1
# rep0_full	2,1160,47755,21964,58303,5829,5534,310,20776,10052,11158,271,550,561,41096,271,12189,488,3105,914,3300,264,3050,709,11,353,3172,19264,440,264,17697,3010,321,10033,279,4437,5215,13,271,13962,12851,318,7259,5792,8,271,71093,13670,198,989,8355,283,1325,482,3720,4515,271,1628,59649,2939,14048,28638,11,4667,8,313,198,220,8355,52745,28638,11,359,4609,23,504,318,600,11,795,8,574,313,198,262,413,318,600,8,313,198,406,4667,3831,1174,198,406,460,26,198,262,333,198,262,1380,313,198,406,713,15215,283,4566,4482,2507,1174,198,406,4667,4806,11,15215,1174,198,262,333,2213,318,6199,7501,8,313,198,406,4667,26862,7501,1174,198,262,333,198,220,17574,198,92,198,71093,271,13962,4486,318,7449,14,11093,8,271,71093,13670,198,989,8355,283,1325,482,3720,1760,23693,4750,26,271,7449,709,59649,2939,14048,28638,8,313,198,220,713,795,283,2454,8355,52745,28638,11,359,4609,23,4515,198,220,460,4566,4482,2507,1174,198,92,198,71093,271,550,5141,27227,594,3975,2683,4451,13840,35035,271,91,77295,735,21964,5889,735,20776,10052,11158,5889,735,198,91,4277,91,4277,91,4277,91,198,91,2972,1401,51842,332,735,1510,13105,3831,44646,735,1510,6897,63,318,29925,4417,17030,10896,8,735,198
# rep0_trim	2,1160,47755,21964,58303,5829,5534,310,20776,10052,11158,271,550,561,41096,271,12189,488,3105,914,3300,264,3050,709,11,353,3172,19264,440,264,17697,3010,321,10033,279,4437,5215,13,271,13962,12851,318,7259,5792,8,271,71093,13670,198,989,8355,283,1325,482,3720,4515,271,1628,59649,2939,14048,28638,11,4667,8,313,198,220,8355,52745,28638,11,359,4609,23,504,318,600,11,795,8,574,313,198,262,413,318,600,8,313,198,406,4667,3831,1174,198,406,460,26,198,262,333,198,262,1380,313,198,406,713,15215,283,4566,4482,2507,1174,198,406,4667,4806,11,15215,1174,198,262,333,2213,318,6199,7501,8,313,198,406,4667,26862,7501,1174,198,262,333,198,220,17574,198,92,198,71093,271,13962,4486,318,7449,14,11093,8,271,71093,13670,198,989,8355,283,1325,482,3720,1760,23693,4750,26,271,7449,709,59649,2939,14048,28638,8,313,198,220,713,795,283,2454,8355,52745,28638,11,359,4609,23,4515,198,220,460,4566,4482,2507,1174,198,92,198,71093,271,550,5141,27227,594,3975,2683,4451,13840,35035,271,91,77295,735,21964,5889,735,20776,10052,11158,5889,735,198,91,4277,91,4277,91,4277,91,198,91,2972,1401,51842,332,735,1510,13105,3831,44646,735,1510,6897,63,318,29925,4417,17030,10896,8,735,198
