# qwen4exp_real_gate	label=mtp10-long	binary_sha256=abdca1508b2a37fb50af93470559320813b7a51e67349565027f86dc8a622e03	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false	mtp_dev1=true	spec_opts=SpecOpts { dynk: None, adapt_k_lo: None, pmin: 0.0 }
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# spec-ab k=5: plain greedy decode vs spec_generate, fresh states per arm per rep
rep	arm	tokens	ms_per_token	tok_per_s	accept_rate	mean_accept_len
0	plain	256	19.78	50.57	-	-
0	spec	256	20.59	48.57	0.310	2.51
# round-cost	rep=0	rounds=102	chain_ms=8.10	replay_ms=1.13	verify_ms=41.20	cross_ms=0.024	draft_prefill_ms=95.5	zero_draft=0	guard_stops=0	plain_steps=0	k_decays=[]
1	plain	256	19.78	50.55	-	-
1	spec	256	20.10	49.75	0.310	2.51
# round-cost	rep=1	rounds=102	chain_ms=8.11	replay_ms=1.13	verify_ms=40.01	cross_ms=0.025	draft_prefill_ms=92.8	zero_draft=0	guard_stops=0	plain_steps=0	k_decays=[]
2	plain	256	19.53	51.20	-	-
2	spec	256	20.06	49.86	0.310	2.51
# round-cost	rep=2	rounds=102	chain_ms=8.10	replay_ms=1.13	verify_ms=39.91	cross_ms=0.025	draft_prefill_ms=91.8	zero_draft=0	guard_stops=0	plain_steps=0	k_decays=[]
# arm plain	mean_of_means_ms=19.70	min=19.53	max=19.78	tok_per_s=50.77
# arm spec	mean_of_means_ms=20.25	min=20.06	max=20.59	tok_per_s=49.38
# rep0_plain_vs_spec_first_divergence	-1
# accept_hist_total	90,102,42,30,12,30
# rep0_plain	1596,1144,4087,1156,579,3274,13,14235,3404,2649,30,1165,513,303,44213,4424,30,1165,599,874,4880,12168,2528,30,14235,22846,30,561,1156,16561,310,944,303,593,4955,14,394,53481,4148,38294,14,7838,7278,14,3141,911,13,1577,1167,16451,6970,628,914,8754,10966,13,1921,8106,3481,310,7936,1830,30,14235,6970,958,2420,7141,30,1165,1132,599,94172,13,2233,26156,13,14235,9973,13,1165,1902,25705,430,1786,3102,13,16018,1528,4021,9845,4016,874,12168,30,1921,3274,23535,1865,2468,13,1165,1144,6970,36213,30,1921,1902,524,12681,344,13,14235,381,10429,25,4021,2528,37115,14,840,46070,13,1921,6970,303,411,27502,11,567,513,3481,310,7936,264,47675,1830,30,14235,1683,13,271,1596,1144,8563,4097,4562,13,1165,1459,914,599,15400,2528,13,16018,3300,35822,321,9665,5853,11,694,1156,20335,16561,1542,10966,321,24147,1865,2468,13,1368,11656,11,1902,1528,4021,9845,13,1921,6970,15977,23535,264,1534,4087,440,34271,82,30,14235,6970,958,7920,4424,30,2532,369,874,5224,310,1542,10966,13,1165,628,1132,2781,13,14235,6970,7936,264,1830,421,2640,18716,4016,874,10993,4424,13,1921,12321,888,63008,220,24,13,14235,2830,9665,5853,13,271,9764,579,23331,3274,25,328,6065,25,45726,279,4097,4862,1724,5224,43240,14419,4562,303,8057
# rep0_spec	1596,1144,4087,1156,579,3274,13,14235,3404,2649,30,1165,513,303,44213,4424,30,1165,599,874,4880,12168,2528,30,14235,22846,30,561,1156,16561,310,944,303,593,4955,14,394,53481,4148,38294,14,7838,7278,14,3141,911,13,1577,1167,16451,6970,628,914,8754,10966,13,1921,8106,3481,310,7936,1830,30,14235,6970,958,2420,7141,30,1165,1132,599,94172,13,2233,26156,13,14235,9973,13,1165,1902,25705,430,1786,3102,13,16018,1528,4021,9845,4016,874,12168,30,1921,3274,23535,1865,2468,13,1165,1144,6970,36213,30,1921,1902,524,12681,344,13,14235,381,10429,25,4021,2528,37115,14,840,46070,13,1921,6970,303,411,27502,11,567,513,3481,310,7936,264,47675,1830,30,14235,1683,13,271,1596,1144,8563,4097,4562,13,1165,1459,914,599,15400,2528,13,16018,3300,35822,321,9665,5853,11,694,1156,20335,16561,1542,10966,321,24147,1865,2468,13,1368,11656,11,1902,1528,4021,9845,13,1921,6970,15977,23535,264,1534,4087,440,34271,82,30,14235,6970,958,7920,4424,30,2532,369,874,5224,310,1542,10966,13,1165,628,1132,2781,13,14235,6970,7936,264,1830,421,2640,18716,4016,874,10993,4424,13,1921,12321,888,63008,220,24,13,14235,2830,9665,5853,13,271,9764,579,23331,3274,25,328,6065,25,45726,279,4097,4862,1724,5224,43240,14419,4562,303,8057
