# qwen4exp_real_gate	label=kvq-thinkon	binary_sha256=aa6ec1d17d9a10ca655edc8108dbc401b5375a5071f94544381d3f5b5f3d32c8	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false	mtp_dev1=true	spec_opts=SpecOpts { dynk: None, adapt_k_lo: Some(1), pmin: 0.3, defer: false, defer_guard_sync: false, prefill_chunk: None, wide_ring: None }
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# router-ab seam=kvq k=5 pmin=0.3 adapt=Some(1): host twin vs device seam, interleaved, fresh states per arm per rep
rep	arm	tokens	ms_per_token	tok_per_s	accept_rate	mean_accept_len	chain_ms_per_round	verify_ms_per_round	guard_stops	zero_draft	first_div_vs_host
0	kvq_off	256	11.78	84.91	0.615	1.94	2.28	19.95	36	27	-1
0	kvq_on	256	11.09	90.16	0.645	2.05	2.34	19.78	31	16	75
1	kvq_off	256	11.70	85.45	0.615	1.94	2.29	19.83	36	27	-1
1	kvq_on	256	10.94	91.40	0.645	2.05	2.34	19.46	31	16	75
2	kvq_off	256	11.54	86.64	0.615	1.94	2.29	19.52	36	27	-1
2	kvq_on	256	10.91	91.68	0.645	2.05	2.34	19.40	31	16	75
3	kvq_off	256	11.46	87.26	0.615	1.94	2.28	19.37	36	27	-1
3	kvq_on	256	10.69	93.52	0.645	2.05	2.35	18.96	31	16	75
4	kvq_off	256	11.32	88.33	0.615	1.94	2.28	19.10	36	27	-1
4	kvq_on	256	10.74	93.14	0.645	2.05	2.34	19.05	31	16	75
# arm kvq_off	reps=5	median_ms=11.543	spread_abs_ms=0.456	spread_rel=3.9514%	mean_ms=11.561	tok_per_s=86.64
# arm kvq_on	reps=5	median_ms=10.907	spread_abs_ms=0.399	spread_rel=3.6549%	mean_ms=10.874	tok_per_s=91.68
# escalation	pair=host-vs-dev	rule=a	reps 3->5	spread_rel_host=2.0060%	spread_rel_arm=1.6840%	verdict_ms=0.762	pooled_spread_ms=0.209
# speedup_dev_over_host	1.0583	(decision medians)
# earliest_chain_divergence	75
