# qwen4exp_real_gate	label=owngen-mtp10	binary_sha256=6307988375a174e78f463d2d3b2964b4ee9173bfe2e956813c304ba902c82790	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false	mtp_dev1=true	spec_opts=SpecOpts { dynk: None, adapt_k_lo: None, pmin: 0.0 }
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# owngen: own-generated rank corpus, k=5, FULL-VOCAB draft head, greedy=256 sampled=512x2 eos=[248046, 248044]
# provenance: prompts are REAL-SHAPED (goldens continuations + chat-template renders composed on the box); the counted distribution is this artifact's OWN emitted tokens
prompt	class	arm	seed	prompt_tokens	gen_tokens	counted	hit_eos	accept_rate	mean_accept_len	ms_per_token
144	sxc_claude	sampled	0x5eed0000	640	512	512	false	0.197	1.98	27.98
144	sxc_claude	sampled	0x5eed0001	640	512	512	false	0.197	1.98	28.05
# vram	after_prompt=144	generated_this_run=5	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
54	longctx	greedy	-	602	256	103	true	0.613	4.00	12.72
54	longctx	sampled	0x5eed0000	602	512	113	true	0.659	4.30	12.99
54	longctx	sampled	0x5eed0001	602	512	113	true	0.659	4.30	12.91
# vram	after_prompt=54	generated_this_run=6	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
240	sxc_claude	greedy	-	595	256	256	false	0.291	2.44	20.54
240	sxc_claude	sampled	0x5eed0000	595	512	512	false	0.168	1.84	29.86
240	sxc_claude	sampled	0x5eed0001	595	512	512	false	0.168	1.84	30.05
# vram	after_prompt=240	generated_this_run=7	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
301	sxc_codex	greedy	-	590	256	256	false	0.863	5.33	9.59
301	sxc_codex	sampled	0x5eed0000	590	512	512	false	0.796	4.97	11.27
301	sxc_codex	sampled	0x5eed0001	590	512	512	false	0.796	4.97	11.19
# vram	after_prompt=301	generated_this_run=8	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
108	sxc_claude	greedy	-	565	256	256	false	0.307	2.53	19.94
108	sxc_claude	sampled	0x5eed0000	565	512	512	false	0.385	2.91	18.61
108	sxc_claude	sampled	0x5eed0001	565	512	512	false	0.385	2.91	18.57
# vram	after_prompt=108	generated_this_run=9	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
237	sxc_codex	greedy	-	560	256	256	false	0.343	2.72	18.17
237	sxc_codex	sampled	0x5eed0000	560	512	512	false	0.308	2.55	21.38
237	sxc_codex	sampled	0x5eed0001	560	512	512	false	0.308	2.55	21.39
# vram	after_prompt=237	generated_this_run=10	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
116	sxc_claude	greedy	-	519	256	256	false	0.297	2.49	19.98
116	sxc_claude	sampled	0x5eed0000	519	512	249	true	0.493	3.44	15.76
116	sxc_claude	sampled	0x5eed0001	519	512	249	true	0.493	3.44	15.78
# vram	after_prompt=116	generated_this_run=11	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
34	agentic_tools	greedy	-	512	256	125	true	0.770	4.83	10.50
34	agentic_tools	sampled	0x5eed0000	512	512	112	true	0.508	3.53	15.39
34	agentic_tools	sampled	0x5eed0001	512	512	112	true	0.508	3.53	15.46
# vram	after_prompt=34	generated_this_run=12	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
35	agentic_tools	greedy	-	502	256	154	true	0.727	4.65	10.82
35	agentic_tools	sampled	0x5eed0000	502	512	141	true	0.674	4.38	12.35
35	agentic_tools	sampled	0x5eed0001	502	512	141	true	0.674	4.38	12.34
# vram	after_prompt=35	generated_this_run=13	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
140	sxc_claude	greedy	-	489	256	256	false	0.861	5.22	9.51
140	sxc_claude	sampled	0x5eed0000	489	512	512	false	0.212	2.06	26.03
140	sxc_claude	sampled	0x5eed0001	489	512	512	false	0.212	2.06	26.01
# vram	after_prompt=140	generated_this_run=14	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
235	sxc_hermes	greedy	-	464	256	256	false	0.345	2.72	18.00
235	sxc_hermes	sampled	0x5eed0000	464	512	512	false	0.203	2.02	26.32
235	sxc_hermes	sampled	0x5eed0001	464	512	512	false	0.203	2.02	26.31
# vram	after_prompt=235	generated_this_run=15	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
232	sxc_claude	greedy	-	447	256	256	false	0.247	2.23	21.57
232	sxc_claude	sampled	0x5eed0000	447	512	512	false	0.219	2.10	25.25
232	sxc_claude	sampled	0x5eed0001	447	512	512	false	0.219	2.10	25.42
# vram	after_prompt=232	generated_this_run=16	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
239	sxc_hermes	greedy	-	361	256	256	false	0.898	5.45	8.84
239	sxc_hermes	sampled	0x5eed0000	361	512	512	false	0.169	1.85	28.18
239	sxc_hermes	sampled	0x5eed0001	361	512	512	false	0.169	1.85	28.16
# vram	after_prompt=239	generated_this_run=17	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
36	agentic_tools	greedy	-	317	256	60	true	0.432	3.16	15.07
36	agentic_tools	sampled	0x5eed0000	317	512	59	true	0.358	2.78	18.86
36	agentic_tools	sampled	0x5eed0001	317	512	59	true	0.358	2.78	18.88
# vram	after_prompt=36	generated_this_run=18	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
184	sxc_claude	greedy	-	299	256	256	false	0.885	5.45	8.85
184	sxc_claude	sampled	0x5eed0000	299	512	512	false	0.228	2.13	24.06
184	sxc_claude	sampled	0x5eed0001	299	512	512	false	0.228	2.13	24.18
# vram	after_prompt=184	generated_this_run=19	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
297	sxc_codex	greedy	-	284	256	104	true	0.446	3.24	14.33
297	sxc_codex	sampled	0x5eed0000	284	512	209	true	0.297	2.49	20.50
297	sxc_codex	sampled	0x5eed0001	284	512	209	true	0.297	2.49	20.55
# vram	after_prompt=297	generated_this_run=20	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
156	sxc_claude	greedy	-	267	256	256	false	0.255	2.27	20.32
156	sxc_claude	sampled	0x5eed0000	267	512	512	false	0.202	2.02	25.47
156	sxc_claude	sampled	0x5eed0001	267	512	512	false	0.202	2.02	25.39
# vram	after_prompt=156	generated_this_run=21	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
300	sxc_claude	greedy	-	257	256	256	false	0.650	4.27	10.92
300	sxc_claude	sampled	0x5eed0000	257	512	512	false	0.383	2.91	17.81
300	sxc_claude	sampled	0x5eed0001	257	512	512	false	0.383	2.91	17.79
# vram	after_prompt=300	generated_this_run=22	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
50	longctx	greedy	-	256	256	256	false	0.412	3.01	15.27
50	longctx	sampled	0x5eed0000	256	512	512	false	0.273	2.36	21.68
50	longctx	sampled	0x5eed0001	256	512	512	false	0.273	2.36	21.69
# vram	after_prompt=50	generated_this_run=23	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
305	sxc_codex	greedy	-	251	256	119	true	0.407	3.05	15.14
305	sxc_codex	sampled	0x5eed0000	251	512	82	true	0.533	3.66	13.87
305	sxc_codex	sampled	0x5eed0001	251	512	82	true	0.533	3.66	13.88
# vram	after_prompt=305	generated_this_run=24	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
198	sxc_eigen	greedy	-	243	256	256	false	0.585	3.94	11.83
198	sxc_eigen	sampled	0x5eed0000	243	512	512	false	0.282	2.42	21.26
198	sxc_eigen	sampled	0x5eed0001	243	512	512	false	0.282	2.42	21.26
# vram	after_prompt=198	generated_this_run=25	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
197	sxc_codex	greedy	-	240	256	157	true	0.393	2.98	15.63
197	sxc_codex	sampled	0x5eed0000	240	512	255	true	0.329	2.64	19.16
197	sxc_codex	sampled	0x5eed0001	240	512	255	true	0.329	2.64	19.13
# vram	after_prompt=197	generated_this_run=26	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
177	sxc_codex	greedy	-	238	256	166	true	0.424	3.12	14.70
177	sxc_codex	sampled	0x5eed0000	238	512	94	true	0.222	2.12	23.98
177	sxc_codex	sampled	0x5eed0001	238	512	94	true	0.222	2.12	24.25
# vram	after_prompt=177	generated_this_run=27	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
189	sxc_codex	greedy	-	238	256	111	true	0.417	3.08	15.05
189	sxc_codex	sampled	0x5eed0000	238	512	208	true	0.327	2.64	19.51
189	sxc_codex	sampled	0x5eed0001	238	512	208	true	0.327	2.64	19.48
# vram	after_prompt=189	generated_this_run=28	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
233	sxc_codex	greedy	-	238	256	101	true	0.312	2.56	17.94
233	sxc_codex	sampled	0x5eed0000	238	512	240	true	0.239	2.20	23.25
233	sxc_codex	sampled	0x5eed0001	238	512	240	true	0.239	2.20	23.28
# vram	after_prompt=233	generated_this_run=29	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
325	sxc_codex	greedy	-	238	256	104	true	0.445	3.20	14.35
325	sxc_codex	sampled	0x5eed0000	238	512	369	true	0.313	2.56	19.79
325	sxc_codex	sampled	0x5eed0001	238	512	369	true	0.313	2.56	19.78
# vram	after_prompt=325	generated_this_run=30	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
201	sxc_codex	greedy	-	236	256	200	true	0.295	2.49	18.40
201	sxc_codex	sampled	0x5eed0000	236	512	149	true	0.247	2.23	22.85
201	sxc_codex	sampled	0x5eed0001	236	512	149	true	0.247	2.23	22.90
# vram	after_prompt=201	generated_this_run=31	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
101	sxc_codex	greedy	-	232	256	108	true	0.378	2.88	15.96
101	sxc_codex	sampled	0x5eed0000	232	512	197	true	0.274	2.36	21.59
101	sxc_codex	sampled	0x5eed0001	232	512	197	true	0.274	2.36	21.60
# vram	after_prompt=101	generated_this_run=32	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
157	sxc_codex	greedy	-	230	256	134	true	0.419	3.05	15.19
157	sxc_codex	sampled	0x5eed0000	230	512	250	true	0.196	1.97	25.68
157	sxc_codex	sampled	0x5eed0001	230	512	250	true	0.196	1.97	25.71
# vram	after_prompt=157	generated_this_run=33	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
164	sxc_claude	greedy	-	230	256	256	false	0.609	4.00	11.58
164	sxc_claude	sampled	0x5eed0000	230	512	512	false	0.208	2.03	25.14
164	sxc_claude	sampled	0x5eed0001	230	512	512	false	0.208	2.03	25.02
# vram	after_prompt=164	generated_this_run=34	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
337	sxc_codex	greedy	-	230	256	152	true	0.419	3.08	14.85
337	sxc_codex	sampled	0x5eed0000	230	512	210	true	0.281	2.40	21.10
337	sxc_codex	sampled	0x5eed0001	230	512	210	true	0.281	2.40	21.10
# vram	after_prompt=337	generated_this_run=35	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
345	sxc_codex	greedy	-	230	256	217	true	0.354	2.78	16.66
345	sxc_codex	sampled	0x5eed0000	230	512	512	false	0.260	2.29	22.39
345	sxc_codex	sampled	0x5eed0001	230	512	512	false	0.260	2.29	22.25
# vram	after_prompt=345	generated_this_run=36	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
284	sxc_claude	greedy	-	213	256	256	false	0.360	2.81	16.53
284	sxc_claude	sampled	0x5eed0000	213	512	512	false	0.176	1.88	27.08
284	sxc_claude	sampled	0x5eed0001	213	512	512	false	0.176	1.88	26.83
# vram	after_prompt=284	generated_this_run=37	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
52	longctx	greedy	-	212	256	256	false	0.476	3.37	13.67
52	longctx	sampled	0x5eed0000	212	512	512	false	0.221	2.11	24.34
52	longctx	sampled	0x5eed0001	212	512	512	false	0.221	2.11	24.35
# vram	after_prompt=52	generated_this_run=38	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
62	sxc_eigen	greedy	-	207	256	256	false	0.556	3.76	12.25
62	sxc_eigen	sampled	0x5eed0000	207	512	512	false	0.339	2.69	18.95
62	sxc_eigen	sampled	0x5eed0001	207	512	512	false	0.339	2.69	18.94
# vram	after_prompt=62	generated_this_run=39	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
132	sxc_claude	greedy	-	203	256	256	false	0.299	2.49	18.28
132	sxc_claude	sampled	0x5eed0000	203	512	512	false	0.308	2.52	20.18
132	sxc_claude	sampled	0x5eed0001	203	512	512	false	0.308	2.52	20.19
# vram	after_prompt=132	generated_this_run=40	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
216	sxc_claude	greedy	-	202	256	256	false	0.448	3.24	14.07
216	sxc_claude	sampled	0x5eed0000	202	512	512	false	0.312	2.56	19.90
216	sxc_claude	sampled	0x5eed0001	202	512	512	false	0.312	2.56	19.91
# vram	after_prompt=216	generated_this_run=41	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
250	sxc_eigen	greedy	-	199	256	256	false	0.623	4.13	11.03
250	sxc_eigen	sampled	0x5eed0000	199	512	512	false	0.459	3.28	15.44
250	sxc_eigen	sampled	0x5eed0001	199	512	512	false	0.459	3.28	15.46
# vram	after_prompt=250	generated_this_run=42	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
192	sxc_claude	greedy	-	197	256	256	false	0.600	4.00	11.44
192	sxc_claude	sampled	0x5eed0000	197	512	512	false	0.336	2.68	19.07
192	sxc_claude	sampled	0x5eed0001	197	512	512	false	0.336	2.68	19.06
# vram	after_prompt=192	generated_this_run=43	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
180	sxc_claude	greedy	-	196	256	256	false	0.495	3.46	13.22
180	sxc_claude	sampled	0x5eed0000	196	512	512	false	0.349	2.74	18.52
180	sxc_claude	sampled	0x5eed0001	196	512	512	false	0.349	2.74	18.55
# vram	after_prompt=180	generated_this_run=44	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
51	longctx	greedy	-	183	256	256	false	0.395	2.98	15.25
51	longctx	sampled	0x5eed0000	183	512	512	false	0.267	2.34	21.55
51	longctx	sampled	0x5eed0001	183	512	512	false	0.267	2.34	21.54
# vram	after_prompt=51	generated_this_run=45	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
161	sxc_codex	greedy	-	177	256	256	false	0.367	2.84	15.90
161	sxc_codex	sampled	0x5eed0000	177	512	512	false	0.231	2.16	23.21
161	sxc_codex	sampled	0x5eed0001	177	512	512	false	0.231	2.16	23.21
# vram	after_prompt=161	generated_this_run=46	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
204	sxc_claude	greedy	-	173	256	256	false	0.430	3.16	14.41
204	sxc_claude	sampled	0x5eed0000	173	512	512	false	0.294	2.46	20.46
204	sxc_claude	sampled	0x5eed0001	173	512	512	false	0.294	2.46	20.66
# vram	after_prompt=204	generated_this_run=47	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
91	sxc_hermes	greedy	-	171	256	256	false	0.570	3.82	11.83
91	sxc_hermes	sampled	0x5eed0000	171	512	512	false	0.219	2.10	24.01
91	sxc_hermes	sampled	0x5eed0001	171	512	512	false	0.219	2.10	24.13
# vram	after_prompt=91	generated_this_run=48	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
329	sxc_codex	greedy	-	168	256	256	false	0.414	3.08	14.73
329	sxc_codex	sampled	0x5eed0000	168	512	512	false	0.273	2.35	21.39
329	sxc_codex	sampled	0x5eed0001	168	512	512	false	0.273	2.35	21.39
# vram	after_prompt=329	generated_this_run=49	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
136	sxc_claude	greedy	-	165	256	256	false	0.328	2.64	17.10
136	sxc_claude	sampled	0x5eed0000	165	512	512	false	0.178	1.89	26.62
136	sxc_claude	sampled	0x5eed0001	165	512	512	false	0.178	1.89	26.66
# vram	after_prompt=136	generated_this_run=50	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
333	sxc_codex	greedy	-	164	256	256	false	0.337	2.69	16.88
333	sxc_codex	sampled	0x5eed0000	164	512	512	false	0.271	2.36	21.33
333	sxc_codex	sampled	0x5eed0001	164	512	512	false	0.271	2.36	21.37
# vram	after_prompt=333	generated_this_run=51	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
341	sxc_codex	greedy	-	160	256	256	false	0.556	3.76	12.05
341	sxc_codex	sampled	0x5eed0000	160	512	512	false	0.272	2.36	21.28
341	sxc_codex	sampled	0x5eed0001	160	512	512	false	0.272	2.36	21.36
# vram	after_prompt=341	generated_this_run=52	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
348	sxc_claude	greedy	-	159	256	256	false	0.576	3.88	11.80
348	sxc_claude	sampled	0x5eed0000	159	512	512	false	0.281	2.40	20.97
348	sxc_claude	sampled	0x5eed0001	159	512	512	false	0.281	2.40	21.05
# vram	after_prompt=348	generated_this_run=53	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
95	sxc_hermes	greedy	-	156	256	256	false	0.553	3.76	12.06
95	sxc_hermes	sampled	0x5eed0000	156	512	512	false	0.323	2.60	19.33
95	sxc_hermes	sampled	0x5eed0001	156	512	512	false	0.323	2.60	19.36
# vram	after_prompt=95	generated_this_run=54	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
181	sxc_codex	greedy	-	154	256	256	false	0.410	3.05	14.84
181	sxc_codex	sampled	0x5eed0000	154	512	512	false	0.304	2.52	20.02
181	sxc_codex	sampled	0x5eed0001	154	512	512	false	0.304	2.52	20.00
# vram	after_prompt=181	generated_this_run=55	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
57	sxc_codex	greedy	-	153	256	256	false	0.499	3.51	12.85
57	sxc_codex	sampled	0x5eed0000	153	512	512	false	0.278	2.39	20.86
57	sxc_codex	sampled	0x5eed0001	153	512	512	false	0.278	2.39	20.94
# vram	after_prompt=57	generated_this_run=56	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
196	sxc_claude	greedy	-	153	256	256	false	0.493	3.41	13.32
196	sxc_claude	sampled	0x5eed0000	153	512	377	true	0.296	2.49	20.37
196	sxc_claude	sampled	0x5eed0001	153	512	377	true	0.296	2.49	20.38
# vram	after_prompt=196	generated_this_run=57	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
185	sxc_codex	greedy	-	146	256	256	false	0.417	3.08	14.78
185	sxc_codex	sampled	0x5eed0000	146	512	512	false	0.230	2.15	23.23
185	sxc_codex	sampled	0x5eed0001	146	512	512	false	0.230	2.15	23.18
# vram	after_prompt=185	generated_this_run=58	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
221	sxc_codex	greedy	-	143	256	256	false	0.337	2.69	16.66
221	sxc_codex	sampled	0x5eed0000	143	512	512	false	0.279	2.39	20.77
221	sxc_codex	sampled	0x5eed0001	143	512	512	false	0.279	2.39	20.76
# vram	after_prompt=221	generated_this_run=59	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
166	sxc_eigen	greedy	-	138	256	256	false	0.412	3.01	14.88
166	sxc_eigen	sampled	0x5eed0000	138	512	512	false	0.283	2.40	20.83
166	sxc_eigen	sampled	0x5eed0001	138	512	512	false	0.283	2.40	20.76
# vram	after_prompt=166	generated_this_run=60	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
213	sxc_codex	greedy	-	138	256	256	false	0.393	2.98	15.01
213	sxc_codex	sampled	0x5eed0000	138	512	512	false	0.284	2.43	20.46
213	sxc_codex	sampled	0x5eed0001	138	512	512	false	0.284	2.43	20.51
# vram	after_prompt=213	generated_this_run=61	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
228	sxc_claude	greedy	-	138	256	256	false	0.464	3.28	13.64
228	sxc_claude	sampled	0x5eed0000	138	512	512	false	0.236	2.18	22.85
228	sxc_claude	sampled	0x5eed0001	138	512	512	false	0.236	2.18	22.95
# vram	after_prompt=228	generated_this_run=62	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
349	sxc_codex	greedy	-	138	256	256	false	0.576	3.82	11.86
349	sxc_codex	sampled	0x5eed0000	138	512	512	false	0.338	2.69	18.50
349	sxc_codex	sampled	0x5eed0001	138	512	512	false	0.338	2.69	18.48
# vram	after_prompt=349	generated_this_run=63	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
225	sxc_codex	greedy	-	133	256	256	false	0.348	2.75	16.29
225	sxc_codex	sampled	0x5eed0000	133	512	512	false	0.206	2.03	24.36
225	sxc_codex	sampled	0x5eed0001	133	512	512	false	0.206	2.03	24.47
# vram	after_prompt=225	generated_this_run=64	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
278	sxc_eigen	greedy	-	132	256	256	false	0.485	3.41	13.14
278	sxc_eigen	sampled	0x5eed0000	132	512	512	false	0.267	2.34	21.39
278	sxc_eigen	sampled	0x5eed0001	132	512	512	false	0.267	2.34	21.42
# vram	after_prompt=278	generated_this_run=65	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
23	logs	greedy	-	130	256	256	false	0.508	3.56	12.61
23	logs	sampled	0x5eed0000	130	512	512	false	0.211	2.06	24.20
23	logs	sampled	0x5eed0001	130	512	512	false	0.211	2.06	24.18
# vram	after_prompt=23	generated_this_run=66	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
134	sxc_eigen	greedy	-	130	256	256	false	0.337	2.69	16.60
134	sxc_eigen	sampled	0x5eed0000	130	512	512	false	0.225	2.12	23.34
134	sxc_eigen	sampled	0x5eed0001	130	512	512	false	0.225	2.12	23.32
# vram	after_prompt=134	generated_this_run=67	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
171	sxc_hermes	greedy	-	129	256	256	false	0.410	3.05	14.75
171	sxc_hermes	sampled	0x5eed0000	129	512	512	false	0.273	2.37	21.00
171	sxc_hermes	sampled	0x5eed0001	129	512	512	false	0.273	2.37	21.03
# vram	after_prompt=171	generated_this_run=68	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
17	json	greedy	-	128	256	256	false	0.718	4.57	9.82
17	json	sampled	0x5eed0000	128	512	257	true	0.746	4.74	10.50
17	json	sampled	0x5eed0001	128	512	257	true	0.746	4.74	10.49
# vram	after_prompt=17	generated_this_run=69	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
316	sxc_claude	greedy	-	128	256	256	false	0.480	3.41	13.05
316	sxc_claude	sampled	0x5eed0000	128	512	512	false	0.284	2.43	20.62
316	sxc_claude	sampled	0x5eed0001	128	512	512	false	0.284	2.43	20.56
# vram	after_prompt=316	generated_this_run=70	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
141	sxc_codex	greedy	-	127	256	256	false	0.317	2.59	17.21
141	sxc_codex	sampled	0x5eed0000	127	512	512	false	0.192	1.95	25.18
141	sxc_codex	sampled	0x5eed0001	127	512	512	false	0.192	1.95	25.24
# vram	after_prompt=141	generated_this_run=71	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
208	sxc_claude	greedy	-	127	256	256	false	0.559	3.76	11.90
208	sxc_claude	sampled	0x5eed0000	127	512	512	false	0.248	2.25	22.23
208	sxc_claude	sampled	0x5eed0001	127	512	512	false	0.248	2.25	22.11
# vram	after_prompt=208	generated_this_run=72	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
25	logs	greedy	-	126	256	256	false	0.500	3.46	12.98
25	logs	sampled	0x5eed0000	126	512	360	true	0.398	2.99	16.52
25	logs	sampled	0x5eed0001	126	512	360	true	0.398	2.99	16.53
# vram	after_prompt=25	generated_this_run=73	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
193	sxc_codex	greedy	-	126	256	256	false	0.445	3.20	13.99
193	sxc_codex	sampled	0x5eed0000	126	512	512	false	0.214	2.07	24.10
193	sxc_codex	sampled	0x5eed0001	126	512	512	false	0.214	2.07	24.04
# vram	after_prompt=193	generated_this_run=74	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
7	refactor	greedy	-	124	256	256	false	0.351	2.75	16.18
7	refactor	sampled	0x5eed0000	124	512	512	false	0.277	2.38	20.89
7	refactor	sampled	0x5eed0001	124	512	512	false	0.277	2.38	20.89
# vram	after_prompt=7	generated_this_run=75	0, 92115 MiB, 97887 MiB | 1, 10099 MiB, 97887 MiB
67	sxc_hermes	greedy	-	124	256	256	false	0.400	2.98	14.98
67	sxc_hermes	sampled	0x5eed0000	124	512	512	false	0.269	2.35	21.10
