# qwen4exp_real_gate	label=fs-og-thinkon	binary_sha256=415dfecbe1707e1e62adb78097ce62983ae811ffc72e6a2648f45d3628e3ae8d	ckpt=/root/data/q48fn-yarn1m	host_bf16_banks=false	indexer_norm_raw=false	mtp_dev1=false	spec_opts=SpecOpts { dynk: None, adapt_k_lo: Some(1), pmin: 0.3, defer: false, defer_guard_sync: false, prefill_chunk: None, wide_ring: None }
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# cache	kv_quant=q8_0/q5_1	idxq=q8	golden_pin=true	seams_env=idxsel,kvq,idxq
# trim-ab k=5 trim_n=32768 vocab=248320: full-vocab draft head vs FR-Spec trimmed head, interleaved, fresh states per arm per rep, ARM ORDER FLIPPED on odd reps
# order = position of the arm INSIDE its rep (1 = ran first): an arm that is always second carries whatever the first arm left behind (clocks, allocator, caches), and a fixed order hides that inside the mean
rep	arm	order	draft_head_rows	tokens	ms_per_token	tok_per_s	accept_rate	mean_accept_len	draft_ms_share	hist
0	full	1	248320	256	12.25	81.61	0.608	1.94	0.12	55,47,17,10,2,1
0	trim	2	32768	256	11.59	86.32	0.603	1.92	0.07	56,48,18,7,2,2
1	trim	1	32768	256	11.63	86.01	0.603	1.92	0.07	56,48,18,7,2,2
1	full	2	248320	256	12.23	81.74	0.608	1.94	0.12	55,47,17,10,2,1
2	full	1	248320	256	12.19	82.03	0.608	1.94	0.12	55,47,17,10,2,1
2	trim	2	32768	256	11.64	85.94	0.603	1.92	0.07	56,48,18,7,2,2
# arm full	mean_of_means_ms=12.23	min=12.19	max=12.25	spread_pct=0.510	tok_per_s=81.79	mean_accept_rate=0.608	mean_accept_len=1.94
# arm trim	mean_of_means_ms=11.62	min=11.59	max=11.64	spread_pct=0.440	tok_per_s=86.09	mean_accept_rate=0.603	mean_accept_len=1.92
# speedup_trim_over_full	1.0525
# rep0_full_vs_trim_first_divergence	-1
# rep0_full	1596,1144,4087,1156,25,328,11670,411,4667,5792,5829,709,310,3203,14,11093,11,45328,279,1412,50921,6681,11,321,1910,1092,4203,364,264,19260,421,1429,310,1440,264,4667,1149,271,3850,874,709,3766,13,14235,4222,2466,364,1970,30,1921,6970,3300,13553,5215,30,2570,2640,328,559,4667,5792,5829,709,1,694,38136,13,1165,1144,5707,6970,1622,1970,11,694,1048,628,2873,3683,13,14235,1534,4087,13,14235,381,10631,25,1910,4338,24147,709,26,35020,1420,4437,13996,45328,1412,50921,321,19260,4203,13,14235,6970,6088,413,4667,1647,318,600,11,1067,8,1411,3203,4523,1067,11,3659,1784,13,78503,6681,25,413,4667,2512,13716,6799,30,14235,16097,13,271,22916,4222,2830,3010,25,709,635,51162,2784,11,9566,8,313,2423,9566,3831,11,1067,8,333,1411,3203,709,635,51162,2784,8,313,2423,460,1067,26,333,694,413,3889,6526,9566,5081,2942,30,20480,30,14235,4581,1412,50921,25,5829,4667,20624,25,1118,1344,1412,11,2018,1067,13,20776,14,11093,25,460,1067,11,2430,1412,13,54184,4203,25,874,4667,26,2454,4613,1380,2805,730,466,641,3282,11591,6947,13,1368,3889,11330,9801,4667,321,5743,2414,30,14235,20480,30,10380,413,4667,5792,709,1048,4523,10896,30,14235,2466,13,271,12525,3300,13553,13996,440,2619,87187,30,1921
# rep0_trim	1596,1144,4087,1156,25,328,11670,411,4667,5792,5829,709,310,3203,14,11093,11,45328,279,1412,50921,6681,11,321,1910,1092,4203,364,264,19260,421,1429,310,1440,264,4667,1149,271,3850,874,709,3766,13,14235,4222,2466,364,1970,30,1921,6970,3300,13553,5215,30,2570,2640,328,559,4667,5792,5829,709,1,694,38136,13,1165,1144,5707,6970,1622,1970,11,694,1048,628,2873,3683,13,14235,1534,4087,13,14235,381,10631,25,1910,4338,24147,709,26,35020,1420,4437,13996,45328,1412,50921,321,19260,4203,13,14235,6970,6088,413,4667,1647,318,600,11,1067,8,1411,3203,4523,1067,11,3659,1784,13,78503,6681,25,413,4667,2512,13716,6799,30,14235,16097,13,271,22916,4222,2830,3010,25,709,635,51162,2784,11,9566,8,313,2423,9566,3831,11,1067,8,333,1411,3203,709,635,51162,2784,8,313,2423,460,1067,26,333,694,413,3889,6526,9566,5081,2942,30,20480,30,14235,4581,1412,50921,25,5829,4667,20624,25,1118,1344,1412,11,2018,1067,13,20776,14,11093,25,460,1067,11,2430,1412,13,54184,4203,25,874,4667,26,2454,4613,1380,2805,730,466,641,3282,11591,6947,13,1368,3889,11330,9801,4667,321,5743,2414,30,14235,20480,30,10380,413,4667,5792,709,1048,4523,10896,30,14235,2466,13,271,12525,3300,13553,13996,440,2619,87187,30,1921
