From https://github.com/avifenesh/memra
   dffc794e8..35a0b4c98  qwen4exp-bringup-20260829 -> origin/qwen4exp-bringup-20260829
# round-cost	rep=3	rounds=133	chain_ms=2.09	replay_ms=0.71	verify_ms=22.24	cross_ms=0.019	draft_prefill_ms=24.2	zero_draft=31	guard_stops=41	plain_steps=0	k_decays=[]
4	plain	256	15.53	64.40	-	-
4	spec	256	13.15	76.03	0.613	1.92
# round-cost	rep=4	rounds=133	chain_ms=2.09	replay_ms=0.71	verify_ms=22.18	cross_ms=0.020	draft_prefill_ms=24.1	zero_draft=31	guard_stops=41	plain_steps=0	k_decays=[]
# arm plain	mean_of_means_ms=15.58	min=15.53	max=15.62	tok_per_s=64.18
# arm spec	mean_of_means_ms=13.27	min=13.15	max=13.40	tok_per_s=75.35
# rep0_plain_vs_spec_first_divergence	-1
# accept_hist_total	315,205,75,35,25,10
# rep0_plain	1596,1144,4087,1156,25,328,11670,411,4667,5792,5829,709,310,3203,14,11093,11,45328,279,1412,50921,6681,11,321,1910,1092,4203,364,264,19260,421,1429,310,1440,264,4667,1149,271,3850,1156,3105,914,3300,709,13,14235,4222,2466,364,1970,30,1921,6970,3481,13553,4087,30,14235,7936,1534,13,14235,6970,1528,1144,3889,709,13,1921,8106,628,3300,3683,13,14235,25705,25,5335,4667,5792,5829,709,310,3203,14,11093,45328,1412,50921,6681,11,321,1910,19260,4203,13,8439,874,1970,11,567,628,1910,4338,3300,709,11,694,1048,2873,4437,5215,13,14235,6970,6088,1412,35718,4667,50921,25,4667,3831,11,1067,553,20776,14,11093,25,2430,5787,11,460,1067,13,54184,25,874,4667,11,958,2454,4613,1380,2805,730,466,641,3282,11591,6947,13,78503,6681,25,413,4667,2512,440,1412,11,7602,14,6897,26,413,2512,440,819,321,869,11,8563,869,26,413,4667,2512,5081,2942,30,5829,25827,5802,2957,13,14235,20480,413,4667,2496,2512,30,7076,2496,88749,30,1921,3203,14,11093,628,914,20480,20078,7014,9345,13,14235,20480,63723,3659,30,1368,3889,709,6526,4667,13716,6799,440,1412,11,3203,709,1220,2430,13716,6799,30,32645,3203,709,4523,17030,10896,11,524,63723,2430,13,1368,19260,3481,63723,2430,30,21964,5792,709,2493,2430,13716,6799,466
# rep0_spec	1596,1144,4087,1156,25,328,11670,411,4667,5792,5829,709,310,3203,14,11093,11,45328,279,1412,50921,6681,11,321,1910,1092,4203,364,264,19260,421,1429,310,1440,264,4667,1149,271,3850,1156,3105,914,3300,709,13,14235,4222,2466,364,1970,30,1921,6970,3481,13553,4087,30,14235,7936,1534,13,14235,6970,1528,1144,3889,709,13,1921,8106,628,3300,3683,13,14235,25705,25,5335,4667,5792,5829,709,310,3203,14,11093,45328,1412,50921,6681,11,321,1910,19260,4203,13,8439,874,1970,11,567,628,1910,4338,3300,709,11,694,1048,2873,4437,5215,13,14235,6970,6088,1412,35718,4667,50921,25,4667,3831,11,1067,553,20776,14,11093,25,2430,5787,11,460,1067,13,54184,25,874,4667,11,958,2454,4613,1380,2805,730,466,641,3282,11591,6947,13,78503,6681,25,413,4667,2512,440,1412,11,7602,14,6897,26,413,2512,440,819,321,869,11,8563,869,26,413,4667,2512,5081,2942,30,5829,25827,5802,2957,13,14235,20480,413,4667,2496,2512,30,7076,2496,88749,30,1921,3203,14,11093,628,914,20480,20078,7014,9345,13,14235,20480,63723,3659,30,1368,3889,709,6526,4667,13716,6799,440,1412,11,3203,709,1220,2430,13716,6799,30,32645,3203,709,4523,17030,10896,11,524,63723,2430,13,1368,19260,3481,63723,2430,30,21964,5792,709,2493,2430,13716,6799,466

# spec-ab receipt: /home/ubuntu/realgate/mtp10/final/ab-spec-k5-final-thinkon.tsv
# qwen4exp_real_gate	label=final-thinkon	binary_sha256=e9d32cb0301cd84684e75e787aec8bb25c21d81f1cfe61f99c118eeb34b98185	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false	mtp_dev1=true	spec_opts=SpecOpts { dynk: None, adapt_k_lo: Some(1), pmin: 0.3 }
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# spec-sampled: vendor defaults temp=1.0 top_p=0.95 top_k=20 seed=0x5eedcafe k=5
# SPEC-ENGAGEMENT	rounds=153	rounds_with_accepts=77	accepted=103	drafted=198	accept_hist=76,62,8,4,2,1
# timing	tokens=256	ms_per_token=15.18	tok_per_s=65.86
# ids	1596,1144,5707,310,1156,25,328,11670,411,4667,5792,5829,709,310,3203,14,11093,11,45328,279,1412,50921,6681,11,321,1910,1092,4203,364,264,19260,421,1429,310,1440,264,4667,1149,271,1421,1467,524,3300,709,13,14235,4222,2466,364,1970,30,1921,6970,3300,4437,13996,5215,321,5020,1144,4880,709,30,561,9640,2640,5335,411,4667,5792,5829,709,694,874,1970,5064,13,1165,1144,4222,4087,1704,2586,466,1622,1970,13,14235,6970,2830,3010,30,14235,20480,1412,50921,6681,321,19260,4203,13,8439,874,1970,11,1902,1910,353,1144,279,709,11,694,1532,579,4437,5215,30,1921,6970,1220,7936,4087,440,5696,1970,30,14235,4222,1534,61446,13,14235,16097,25,328,11670,411,4667,5792,5829,709,1,694,26334,13,10380,4087,25,4338,24147,709,13,1921,310,381,10631,11,3300,264,3683,25,4667,1784,11,1067,8772,1380,14,11093,13,78503,1412,50921,25,4667,20539,4451,430,1118,1344,11,874,6907,3008,6043,30,14235,1910,19260,4203,25,874,4667,11,4523,10896,11,958,2454,466,641,3282,11591,6947,11,2213,5787,11,524,1440,4667,13,1368,709,45374,4216,30,14235,328,325,31654,1,7225,13660,1970,13,271,22916,2814,413,1156,23535,586,310,22846,30,10380,524,13,16018,7936,13553,17454,13,14235,6970,2830,328,40,1459,914,1436,279,709,26

# spec-sampled receipt: /home/ubuntu/realgate/mtp10/final/spec-sampled-k5-final-thinkon.tsv
# qwen4exp_real_gate	label=final-thinkon	binary_sha256=e9d32cb0301cd84684e75e787aec8bb25c21d81f1cfe61f99c118eeb34b98185	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false	mtp_dev1=true	spec_opts=SpecOpts { dynk: None, adapt_k_lo: Some(1), pmin: 0.3 }
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# load_seconds=170.3
# vram	post-load	0, 89971 MiB, 97887 MiB | 1, 9555 MiB, 97887 MiB
# probe_tokens=10	ids=[760, 3841, 13477, 37550, 33075, 888, 279, 15217, 5388, 13]
# prefill_seconds=0.28
# vram	post-prefill	0, 90131 MiB, 97887 MiB | 1, 9555 MiB, 97887 MiB
record	rows	cols	max_abs	max_rel	mean_abs	ref_absmax
layer0	10	10240	7.269e-3	7.269e-3	2.142e-4	3.242e-1
layer1	10	10240	7.227e-3	7.227e-3	3.351e-4	4.551e-1
layer2	10	10240	9.171e-3	9.171e-3	4.949e-4	5.273e-1
layer3	10	10240	1.069e-2	1.069e-2	6.315e-4	5.039e-1
layer4	10	10240	2.400e-2	2.400e-2	8.802e-4	5.000e-1
layer5	10	10240	4.044e-2	2.199e-2	1.002e-3	3.047e0
layer6	10	10240	3.950e-2	2.825e-2	1.187e-3	3.078e0
layer7	10	10240	3.766e-2	3.047e-2	1.342e-3	3.047e0
layer8	10	10240	3.723e-2	3.028e-2	1.464e-3	3.062e0
layer9	10	10240	3.919e-2	3.018e-2	1.565e-3	3.062e0
layer10	10	10240	3.944e-2	3.034e-2	1.643e-3	3.125e0
layer11	10	10240	4.564e-2	3.057e-2	1.741e-3	3.016e0
layer12	10	10240	3.579e-2	3.108e-2	1.835e-3	2.953e0
layer13	10	10240	3.742e-2	3.152e-2	1.919e-3	2.984e0
layer14	10	10240	3.983e-2	3.028e-2	2.022e-3	3.016e0
layer15	10	10240	3.942e-2	3.175e-2	2.104e-3	2.953e0
layer16	10	10240	3.426e-2	3.027e-2	2.300e-3	2.938e0
layer17	10	10240	3.720e-2	3.012e-2	2.368e-3	2.969e0
layer18	10	10240	3.641e-2	3.641e-2	2.649e-3	2.969e0
layer19	10	10240	3.828e-2	3.828e-2	2.727e-3	3.000e0
layer20	10	10240	3.628e-2	3.628e-2	2.774e-3	2.938e0
layer21	10	10240	3.821e-2	3.821e-2	2.970e-3	2.969e0
layer22	10	10240	3.808e-2	3.808e-2	3.195e-3	2.969e0
layer23	10	10240	4.135e-2	4.135e-2	3.286e-3	2.969e0
layer24	10	10240	4.415e-2	4.415e-2	3.629e-3	3.828e0
layer25	10	10240	4.598e-2	4.598e-2	3.749e-3	3.859e0
layer26	10	10240	4.796e-2	4.796e-2	4.048e-3	5.062e0
layer27	10	10240	5.241e-2	5.241e-2	4.362e-3	4.750e0
layer28	10	10240	6.440e-2	6.440e-2	4.784e-3	4.531e0
layer29	10	10240	7.918e-2	7.918e-2	5.283e-3	4.469e0
layer30	10	10240	8.751e-2	8.751e-2	5.835e-3	4.438e0
layer31	10	10240	1.252e-1	1.252e-1	6.236e-3	4.281e0
layer32	10	10240	1.439e-1	1.439e-1	6.911e-3	3.891e0
layer33	10	10240	1.524e-1	1.524e-1	7.579e-3	3.844e0
layer34	10	10240	1.494e-1	1.494e-1	8.300e-3	3.828e0
layer35	10	10240	1.632e-1	1.632e-1	9.258e-3	3.859e0
layer36	10	10240	3.300e-1	3.300e-1	1.263e-2	6.844e0
layer37	10	10240	3.278e-1	3.278e-1	1.420e-2	7.094e0
layer38	10	10240	3.274e-1	3.274e-1	1.643e-2	7.094e0
layer39	10	10240	3.848e-1	3.778e-1	1.920e-2	7.188e0
layer40	10	10240	4.305e-1	4.217e-1	2.234e-2	7.219e0
layer41	10	10240	4.475e-1	4.108e-1	2.430e-2	7.125e0
layer42	10	10240	4.586e-1	3.913e-1	2.669e-2	7.156e0
layer43	10	10240	4.799e-1	4.158e-1	2.980e-2	7.188e0
layer44	10	10240	6.259e-1	6.259e-1	3.642e-2	1.162e1
layer45	10	10240	7.158e-1	7.060e-1	4.507e-2	1.169e1
layer46	10	10240	8.605e-1	8.605e-1	5.328e-2	1.350e1
layer47	10	10240	9.034e-1	9.034e-1	5.724e-2	2.575e1
exit_mixer	10	2560	1.279e1	6.599e0	4.373e-1	1.880e2
logits	10	248320	6.183e0	4.901e0	2.689e-1	1.950e1
logits_row	max_abs	max_rel	ref_absmax	golden_top1	our_top1	match
0	3.553e-1	3.553e-1	1.231e1	20438	20438	true
1	1.170e0	1.057e0	1.431e1	4087	4087	true
2	1.182e0	1.046e0	1.800e1	37550	37550	true
3	1.315e0	1.012e0	1.638e1	33075	33075	true
4	1.883e0	1.825e0	1.888e1	888	888	true
5	1.522e0	1.332e0	1.862e1	279	279	true
6	2.620e0	1.682e0	1.950e1	15217	15217	true
7	1.841e0	1.686e0	1.888e1	5388	5388	true
8	1.908e0	1.846e0	1.575e1	13	13	true
9	6.183e0	4.901e0	1.638e1	271	271	true
# logits_argmax_agreement	10/10
# probe_logits	/home/ubuntu/realgate/mtp10/final/probe-logits-final-thinkon.bin	rows=10	vocab=248320

# hidden receipt: /home/ubuntu/realgate/mtp10/final/hidden-gate-final-thinkon.tsv
# greedy prompt 0: first_divergence=0 matched=0/83 prefill=1.03s mean_decode=15.4ms
# greedy prompt 1: first_divergence=0 matched=0/91 prefill=1.10s mean_decode=15.4ms
# greedy prompt 2: first_divergence=0 matched=0/104 prefill=1.21s mean_decode=15.5ms
# greedy prompt 3: first_divergence=0 matched=0/105 prefill=1.20s mean_decode=15.6ms
# greedy receipt: /home/ubuntu/realgate/mtp10/final/greedy-gate-final-thinkon.tsv
# spec-gate prompt 0: first_divergence=-1 accept_rate=0.786 mean_len=3.37 spec=9.8ms plain=15.1ms
# spec-gate prompt 1: first_divergence=-1 accept_rate=0.750 mean_len=3.56 spec=10.0ms plain=15.1ms
# spec-gate prompt 2: first_divergence=-1 accept_rate=0.787 mean_len=3.37 spec=10.2ms plain=15.3ms
# spec-gate prompt 3: first_divergence=-1 accept_rate=0.759 mean_len=3.37 spec=10.0ms plain=15.2ms
# spec-gate receipt: /home/ubuntu/realgate/mtp10/final/spec-gate-k5-final-thinkon.tsv
=== H DONE ===
