# qwen4exp_real_gate	label=dt3-plain-idxcache	binary_sha256=048136afcc7cf250314b7e1fd7b642080528c1015170fb2c38343f819b0dd23a	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false	mtp_dev1=false	spec_opts=SpecOpts { dynk: None, adapt_k_lo: None, pmin: 0.0, defer: false, defer_guard_sync: false, prefill_chunk: None, wide_ring: None }
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# ab-idxcache: fresh state + probe prefill per arm, 4 warmup steps excluded per arm
rep	arm	steps	mean_ms	median_ms	tok_per_s
0	idx_host_cache	128	14.93	14.93	66.97
0	idx_dev_cache	128	14.53	14.52	68.82
1	idx_host_cache	128	14.88	14.89	67.19
1	idx_dev_cache	128	14.57	14.57	68.63
2	idx_host_cache	128	14.90	14.91	67.13
2	idx_dev_cache	128	14.55	14.55	68.71
3	idx_host_cache	128	14.89	14.87	67.14
3	idx_dev_cache	128	14.54	14.52	68.77
4	idx_host_cache	128	14.90	14.90	67.12
4	idx_dev_cache	128	14.56	14.54	68.70
# arm idx_host_cache	mean_of_means_ms=14.90	min=14.88	max=14.93	tok_per_s=67.11
# arm idx_dev_cache	mean_of_means_ms=14.55	min=14.53	max=14.57	tok_per_s=68.73
# rep0_arm_chain_first_divergence	-1
# rep0_idx_host_cache	248045,248046,198,248045,846,198,248045,248046,198,248045,74455,198,248068,198,760,1156,682,3106,328,248045,1,864,7701,310,381,264,3175,3817,466,10811,13,1061,5686,1040,424,1362,381,449,4621,310,15094,264,3175,3817,1083,279,10125,11,466,424,1362,381,264,1228,310,1436,1204,353,5707,310,17957,10804,13,271,9764,728,2814,1092,411,1362,381,25,198,16,13,1049,1362,381,264,3175,3817,1429,303,1010,14791,1558,74593,318,4650,12485,2581,3443,5533,220,248045,321,220,248046,8,198,17,13,1049,1362,381,449,4621,310,35422,821,7465,198,18,13,1049,1362,381,264,1228,466,38896,271,40,1220,5707,17185,321,1438
# rep0_idx_dev_cache	248045,248046,198,248045,846,198,248045,248046,198,248045,74455,198,248068,198,760,1156,682,3106,328,248045,1,864,7701,310,381,264,3175,3817,466,10811,13,1061,5686,1040,424,1362,381,449,4621,310,15094,264,3175,3817,1083,279,10125,11,466,424,1362,381,264,1228,310,1436,1204,353,5707,310,17957,10804,13,271,9764,728,2814,1092,411,1362,381,25,198,16,13,1049,1362,381,264,3175,3817,1429,303,1010,14791,1558,74593,318,4650,12485,2581,3443,5533,220,248045,321,220,248046,8,198,17,13,1049,1362,381,449,4621,310,35422,821,7465,198,18,13,1049,1362,381,264,1228,466,38896,271,40,1220,5707,17185,321,1438
