# qwen4exp_real_gate	label=adm-thinkon-pmin0.5	binary_sha256=abdca1508b2a37fb50af93470559320813b7a51e67349565027f86dc8a622e03	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false	mtp_dev1=true	spec_opts=SpecOpts { dynk: None, adapt_k_lo: None, pmin: 0.5 }
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# spec-ab k=5: plain greedy decode vs spec_generate, fresh states per arm per rep
rep	arm	tokens	ms_per_token	tok_per_s	accept_rate	mean_accept_len
0	plain	256	15.61	64.06	-	-
0	spec	256	14.40	69.42	0.595	1.77
# round-cost	rep=0	rounds=145	chain_ms=2.63	replay_ms=0.69	verify_ms=21.82	cross_ms=0.020	draft_prefill_ms=26.0	zero_draft=66	guard_stops=131	plain_steps=0	k_decays=[]
1	plain	256	15.59	64.13	-	-
1	spec	256	14.47	69.10	0.595	1.77
# round-cost	rep=1	rounds=145	chain_ms=2.63	replay_ms=0.69	verify_ms=21.96	cross_ms=0.021	draft_prefill_ms=23.8	zero_draft=66	guard_stops=131	plain_steps=0	k_decays=[]
2	plain	256	15.60	64.09	-	-
2	spec	256	14.28	70.05	0.595	1.77
# round-cost	rep=2	rounds=145	chain_ms=2.63	replay_ms=0.69	verify_ms=21.62	cross_ms=0.020	draft_prefill_ms=23.7	zero_draft=66	guard_stops=131	plain_steps=0	k_decays=[]
3	plain	256	15.53	64.40	-	-
3	spec	256	14.21	70.39	0.595	1.77
# round-cost	rep=3	rounds=145	chain_ms=2.63	replay_ms=0.69	verify_ms=21.50	cross_ms=0.020	draft_prefill_ms=23.8	zero_draft=66	guard_stops=131	plain_steps=0	k_decays=[]
4	plain	256	15.50	64.51	-	-
4	spec	256	14.16	70.63	0.595	1.77
# round-cost	rep=4	rounds=145	chain_ms=2.64	replay_ms=0.69	verify_ms=21.39	cross_ms=0.020	draft_prefill_ms=23.8	zero_draft=66	guard_stops=131	plain_steps=0	k_decays=[]
# arm plain	mean_of_means_ms=15.57	min=15.50	max=15.61	tok_per_s=64.24
# arm spec	mean_of_means_ms=14.30	min=14.16	max=14.47	tok_per_s=69.92
# rep0_plain_vs_spec_first_divergence	-1
# accept_hist_total	460,135,50,40,5,35
# rep0_plain	1596,1144,4087,1156,25,328,11670,411,4667,5792,5829,709,310,3203,14,11093,11,45328,279,1412,50921,6681,11,321,1910,1092,4203,364,264,19260,421,1429,310,1440,264,4667,1149,271,3850,1156,3105,914,3300,709,13,14235,4222,2466,364,1970,30,1921,6970,3481,13553,4087,30,14235,7936,1534,13,14235,6970,1528,1144,3889,709,13,1921,8106,628,3300,3683,13,14235,25705,25,5335,4667,5792,5829,709,310,3203,14,11093,45328,1412,50921,6681,11,321,1910,19260,4203,13,8439,874,1970,11,567,628,1910,4338,3300,709,11,694,1048,2873,4437,5215,13,14235,6970,6088,1412,35718,4667,50921,25,4667,3831,11,1067,553,20776,14,11093,25,2430,5787,11,460,1067,13,54184,25,874,4667,11,958,2454,4613,1380,2805,730,466,641,3282,11591,6947,13,78503,6681,25,413,4667,2512,440,1412,11,7602,14,6897,26,413,2512,440,819,321,869,11,8563,869,26,413,4667,2512,5081,2942,30,5829,25827,5802,2957,13,14235,20480,413,4667,2496,2512,30,7076,2496,88749,30,1921,3203,14,11093,628,914,20480,20078,7014,9345,13,14235,20480,63723,3659,30,1368,3889,709,6526,4667,13716,6799,440,1412,11,3203,709,1220,2430,13716,6799,30,32645,3203,709,4523,17030,10896,11,524,63723,2430,13,1368,19260,3481,63723,2430,30,21964,5792,709,2493,2430,13716,6799,466
# rep0_spec	1596,1144,4087,1156,25,328,11670,411,4667,5792,5829,709,310,3203,14,11093,11,45328,279,1412,50921,6681,11,321,1910,1092,4203,364,264,19260,421,1429,310,1440,264,4667,1149,271,3850,1156,3105,914,3300,709,13,14235,4222,2466,364,1970,30,1921,6970,3481,13553,4087,30,14235,7936,1534,13,14235,6970,1528,1144,3889,709,13,1921,8106,628,3300,3683,13,14235,25705,25,5335,4667,5792,5829,709,310,3203,14,11093,45328,1412,50921,6681,11,321,1910,19260,4203,13,8439,874,1970,11,567,628,1910,4338,3300,709,11,694,1048,2873,4437,5215,13,14235,6970,6088,1412,35718,4667,50921,25,4667,3831,11,1067,553,20776,14,11093,25,2430,5787,11,460,1067,13,54184,25,874,4667,11,958,2454,4613,1380,2805,730,466,641,3282,11591,6947,13,78503,6681,25,413,4667,2512,440,1412,11,7602,14,6897,26,413,2512,440,819,321,869,11,8563,869,26,413,4667,2512,5081,2942,30,5829,25827,5802,2957,13,14235,20480,413,4667,2496,2512,30,7076,2496,88749,30,1921,3203,14,11093,628,914,20480,20078,7014,9345,13,14235,20480,63723,3659,30,1368,3889,709,6526,4667,13716,6799,440,1412,11,3203,709,1220,2430,13716,6799,30,32645,3203,709,4523,17030,10896,11,524,63723,2430,13,1368,19260,3481,63723,2430,30,21964,5792,709,2493,2430,13716,6799,466
